:START_ID,:END_ID,:TYPE
Movie:The Bride Wore Black,Text:wedding,HAS_TAGS
Movie:The Bride Wore Black,Text:françois truffaut,HAS_TAGS
Movie:The Bride Wore Black,Text:black,HAS_TAGS
Movie:The Bride Wore Black,Text:bride,HAS_TAGS
Movie:Dirty Filthy Love,Person;Organization:Adrian Shergold,DIRECTED_BY
Movie:Dirty Filthy Love,Person;Organization:Jeff Pope,WRITTEN_BY
Movie:Dirty Filthy Love,Person:Michael Sheen,STARRED_ACTORS
Movie:Dirty Filthy Love,Person:Claudie Blakley,STARRED_ACTORS
Movie:Dirty Filthy Love,Person:Anastasia Griffith,STARRED_ACTORS
Movie:Dirty Filthy Love,Person:Adrian Bower,STARRED_ACTORS
Movie:Dirty Filthy Love,Date:2004,RELEASE_YEAR
Movie:Dirty Filthy Love,Text:Drama,HAS_GENRE
Movie:The Dark Horse,Person;Organization:Alfred E. Green,DIRECTED_BY
Movie:The Dark Horse,Person:Bette Davis,STARRED_ACTORS
Movie:The Dark Horse,Person:Warren William,STARRED_ACTORS
Movie:The Dark Horse,Date:1932,RELEASE_YEAR
Movie:The Dark Horse,Text:Comedy,HAS_GENRE
Movie:The Dark Horse,Text:alfred e. green,HAS_TAGS
Movie:The Sentinel,Person;Organization:Clark Johnson,DIRECTED_BY
Movie:The Sentinel,Person;Organization:Gerald Petievich,WRITTEN_BY
Movie:The Sentinel,Person:Michael Douglas,STARRED_ACTORS
Movie:The Sentinel,Person:Kiefer Sutherland,STARRED_ACTORS
Movie:The Sentinel,Person:Eva Longoria,STARRED_ACTORS
Movie:The Sentinel,Date:2006,RELEASE_YEAR
Movie:The Sentinel,Text:Thriller,HAS_GENRE
Movie:The Sentinel,Text:Crime,HAS_GENRE
Movie:The Sentinel,Text:thriller,HAS_TAGS
Movie:The Sentinel,Text:crime,HAS_TAGS
Movie:The Sentinel,Text:michael douglas,HAS_TAGS
Movie:The Sentinel,Text:secret service,HAS_TAGS
Movie:Funny About Love,Person;Organization:Leonard Nimoy,DIRECTED_BY
Movie:Funny About Love,Person;Organization:Norman Steinberg,WRITTEN_BY
Movie:Funny About Love,Person;Organization:David Frankel,WRITTEN_BY
Movie:Funny About Love,Person;Organization:Bob Greene,WRITTEN_BY
Movie:Funny About Love,Person:Gene Wilder,STARRED_ACTORS
Movie:Funny About Love,Date:1990,RELEASE_YEAR
Movie:Funny About Love,Text:Comedy,HAS_GENRE
Movie:Kissed,Person;Organization:Lynne Stopkewich,DIRECTED_BY
Movie:Kissed,Person;Organization:Barbara Gowdy,WRITTEN_BY
Movie:Kissed,Person;Organization:Lynne Stopkewich,WRITTEN_BY
Movie:Kissed,Person:Molly Parker,STARRED_ACTORS
Movie:Kissed,Person:Peter Outerbridge,STARRED_ACTORS
Movie:Kissed,Date:1996,RELEASE_YEAR
Movie:Kissed,Text:necrophilia,HAS_TAGS
Movie:Alive,Person;Organization:Tsutomu Takahashi,WRITTEN_BY
Movie:Alive,Person:Hideo Sakaki,STARRED_ACTORS
Movie:Alive,Date:2002,RELEASE_YEAR
Movie:Alive,Language;Text:Japanese,IN_LANGUAGE
Movie:Alive,Text:Action,HAS_GENRE
Movie:Alive,Text:japan,HAS_TAGS
Movie:Alive,Text:prison,HAS_TAGS
Movie:Snow Queen,Person;Organization:David Wu,DIRECTED_BY
Movie:Snow Queen,Person:Bridget Fonda,STARRED_ACTORS
Movie:Snow Queen,Person:Chelsea Hobbs,STARRED_ACTORS
Movie:Snow Queen,Date:2002,RELEASE_YEAR
Movie:Chopper,Person;Organization:Andrew Dominik,DIRECTED_BY
Movie:Chopper,Person;Organization:Andrew Dominik,WRITTEN_BY
Movie:Chopper,Person:Eric Bana,STARRED_ACTORS
Movie:Chopper,Person:David Field,STARRED_ACTORS
Movie:Chopper,Person:Simon Lyndon,STARRED_ACTORS
Movie:Chopper,Date:2000,RELEASE_YEAR
Movie:Chopper,Text:australia,HAS_TAGS
Movie:Chopper,Text:australian,HAS_TAGS
Movie:Chopper,Text:eric bana,HAS_TAGS
Movie:Chopper,Text:andrew dominik,HAS_TAGS
Movie:The Mistress of Spices,Person;Organization:Paul Mayeda Berges,DIRECTED_BY
Movie:The Mistress of Spices,Person;Organization:Gurinder Chadha,WRITTEN_BY
Movie:The Mistress of Spices,Person;Organization:Paul Mayeda Berges,WRITTEN_BY
Movie:The Mistress of Spices,Person;Organization:Chitra Banerjee Divakaruni,WRITTEN_BY
Movie:The Mistress of Spices,Date:2005,RELEASE_YEAR
Movie:Snow Dogs,Person;Organization:Brian Levant,DIRECTED_BY
Movie:Snow Dogs,Person;Organization:Gary Paulsen,WRITTEN_BY
Movie:Snow Dogs,Person:James Coburn,STARRED_ACTORS
Movie:Snow Dogs,Date:2002,RELEASE_YEAR
Movie:Snow Dogs,Text:Comedy,HAS_GENRE
Movie:Snow Dogs,Text:brian levant,HAS_TAGS
Movie:House,Person;Organization:Steve Miner,DIRECTED_BY
Movie:House,Person:William Katt,STARRED_ACTORS
Movie:House,Person:George Wendt,STARRED_ACTORS
Movie:House,Person:Kay Lenz,STARRED_ACTORS
Movie:House,Person:Richard Moll,STARRED_ACTORS
Movie:House,Date:1986,RELEASE_YEAR
Movie:House,Text:Comedy,HAS_GENRE
Movie:House,Text:Horror,HAS_GENRE
Movie:The Hidden Fortress,Person;Organization:Akira Kurosawa,DIRECTED_BY
Movie:The Hidden Fortress,Person;Organization:Akira Kurosawa,WRITTEN_BY
Movie:The Hidden Fortress,Date:1958,RELEASE_YEAR
Movie:The Hidden Fortress,Text:akira kurosawa,HAS_TAGS
Movie:The Hidden Fortress,Text:toshiro mifune,HAS_TAGS
Movie:The Hidden Fortress,Text:kurosawa,HAS_TAGS
Movie:The Hidden Fortress,Text:princess,HAS_TAGS
Movie:I Want to Live!,Person;Organization:Robert Wise,DIRECTED_BY
Movie:I Want to Live!,Person;Organization:Nelson Gidding,WRITTEN_BY
Movie:I Want to Live!,Person;Organization:Don Mankiewicz,WRITTEN_BY
Movie:I Want to Live!,Person;Organization:Barbara Graham,WRITTEN_BY
Movie:I Want to Live!,Person;Organization:Ed Montgomery,WRITTEN_BY
Movie:I Want to Live!,Person:Susan Hayward,STARRED_ACTORS
Movie:I Want to Live!,Person:Theodore Bikel,STARRED_ACTORS
Movie:I Want to Live!,Person:Simon Oakland,STARRED_ACTORS
Movie:I Want to Live!,Date:1958,RELEASE_YEAR
Movie:I Want to Live!,Text:murder,HAS_TAGS
Movie:I Want to Live!,Text:robert wise,HAS_TAGS
Movie:Mrs. Parkington,Person;Organization:Tay Garnett,DIRECTED_BY
Movie:Mrs. Parkington,Person;Organization:Robert Thoeren,WRITTEN_BY
Movie:Mrs. Parkington,Person;Organization:Louis Bromfield,WRITTEN_BY
Movie:Mrs. Parkington,Person;Organization:Polly James,WRITTEN_BY
Movie:Mrs. Parkington,Person:Walter Pidgeon,STARRED_ACTORS
Movie:Mrs. Parkington,Person:Greer Garson,STARRED_ACTORS
Movie:Mrs. Parkington,Date:1944,RELEASE_YEAR
Movie:Mrs. Parkington,Text:Drama,HAS_GENRE
Movie:Mrs. Parkington,Text:tay garnett,HAS_TAGS
Movie:The Wolf Man,Person;Organization:George Waggner,DIRECTED_BY
Movie:The Wolf Man,Person;Organization:Curt Siodmak,WRITTEN_BY
Movie:The Wolf Man,Person:Claude Rains,STARRED_ACTORS
Movie:The Wolf Man,Person:Ralph Bellamy,STARRED_ACTORS
Movie:The Wolf Man,Date:1941,RELEASE_YEAR
Movie:The Wolf Man,Text:Drama,HAS_GENRE
Movie:The Wolf Man,Text:Horror,HAS_GENRE
Movie:The Wolf Man,Text:werewolf,HAS_TAGS
Movie:A Cruel Romance,Person;Organization:Eldar Ryazanov,DIRECTED_BY
Movie:A Cruel Romance,Person;Organization:Eldar Ryazanov,WRITTEN_BY
Movie:A Cruel Romance,Date:1984,RELEASE_YEAR
Movie:A Cruel Romance,Language;Text:Russian,IN_LANGUAGE
Movie:A Cruel Romance,Text:Drama,HAS_GENRE
Movie:A Cruel Romance,Text:Romance,HAS_GENRE
Movie:A Cruel Romance,Text:russian,HAS_TAGS
Movie:Love Happens,Person;Organization:Brandon Camp,DIRECTED_BY
Movie:Love Happens,Person;Organization:Brandon Camp,WRITTEN_BY
Movie:Love Happens,Person:Aaron Eckhart,STARRED_ACTORS
Movie:Love Happens,Person:Jennifer Aniston,STARRED_ACTORS
Movie:Love Happens,Date:2009,RELEASE_YEAR
Movie:Love Happens,Text:Drama,HAS_GENRE
Movie:Love Happens,Text:Romance,HAS_GENRE
Movie:Love Happens,Text:jennifer aniston,HAS_TAGS
Movie:Innocence,Person;Organization:Hilary Brougher,DIRECTED_BY
Movie:Innocence,Person;Organization:Hilary Brougher,WRITTEN_BY
Movie:Innocence,Person;Organization:Tristine Skyler,WRITTEN_BY
Movie:Innocence,Person;Organization:Jane Mendelsohn,WRITTEN_BY
Movie:Innocence,Person:Kelly Reilly,STARRED_ACTORS
Movie:Innocence,Person:Linus Roache,STARRED_ACTORS
Movie:Innocence,Person:Graham Phillips,STARRED_ACTORS
Movie:Innocence,Person:Sophie Curtis,STARRED_ACTORS
Movie:Innocence,Text:Horror,HAS_GENRE
Movie:Before the Rain,Person;Organization:Milcho Manchevski,DIRECTED_BY
Movie:Before the Rain,Person;Organization:Milcho Manchevski,WRITTEN_BY
Movie:Before the Rain,Person:Katrin Cartlidge,STARRED_ACTORS
Movie:Before the Rain,Person:Grégoire Colin,STARRED_ACTORS
Movie:Before the Rain,Person:Labina Mitevska,STARRED_ACTORS
Movie:Before the Rain,Date:1994,RELEASE_YEAR
Movie:Before the Rain,Language;Text:Macedonian,IN_LANGUAGE
Movie:Before the Rain,Text:War,HAS_GENRE
Movie:Radioland Murders,Person;Organization:Mel Smith,DIRECTED_BY
Movie:Radioland Murders,Person;Organization:George Lucas,WRITTEN_BY
Movie:Radioland Murders,Person;Organization:Willard Huyck,WRITTEN_BY
Movie:Radioland Murders,Person;Organization:Gloria Katz,WRITTEN_BY
Movie:Radioland Murders,Person:Ned Beatty,STARRED_ACTORS
Movie:Radioland Murders,Person:Mary Stuart Masterson,STARRED_ACTORS
Movie:Radioland Murders,Person:George Burns,STARRED_ACTORS
Movie:Radioland Murders,Person:Brian Benben,STARRED_ACTORS
Movie:Radioland Murders,Date:1994,RELEASE_YEAR
Movie:Radioland Murders,Text:Comedy,HAS_GENRE
Movie:Radioland Murders,Text:george lucas,HAS_TAGS
Movie:Radioland Murders,Text:radio,HAS_TAGS
"Movie:Sleep, My Love",Person;Organization:Douglas Sirk,DIRECTED_BY
"Movie:Sleep, My Love",Person:Robert Cummings,STARRED_ACTORS
"Movie:Sleep, My Love",Person:Don Ameche,STARRED_ACTORS
"Movie:Sleep, My Love",Person:Claudette Colbert,STARRED_ACTORS
"Movie:Sleep, My Love",Date:1948,RELEASE_YEAR
Movie:Cousins,Person;Organization:Joel Schumacher,DIRECTED_BY
Movie:Cousins,Person:Sean Young,STARRED_ACTORS
Movie:Cousins,Person:Isabella Rossellini,STARRED_ACTORS
Movie:Cousins,Person:Ted Danson,STARRED_ACTORS
Movie:Cousins,Person:William Petersen,STARRED_ACTORS
Movie:Cousins,Date:1989,RELEASE_YEAR
Movie:Cousins,Text:Comedy,HAS_GENRE
Movie:I Can't Sleep,Person;Organization:Claire Denis,DIRECTED_BY
Movie:I Can't Sleep,Person;Organization:Claire Denis,WRITTEN_BY
Movie:I Can't Sleep,Date:1994,RELEASE_YEAR
Movie:I Can't Sleep,Language;Text:French,IN_LANGUAGE
Movie:I Can't Sleep,Text:Drama,HAS_GENRE
Movie:Moonlight Mile,Person;Organization:Brad Silberling,DIRECTED_BY
Movie:Moonlight Mile,Person;Organization:Brad Silberling,WRITTEN_BY
Movie:Moonlight Mile,Date:2002,RELEASE_YEAR
Movie:Moonlight Mile,Text:Drama,HAS_GENRE
Movie:Moonlight Mile,Number:good,HAS_IMDB_RATING
Movie:China O'Brien,Person:Cynthia Rothrock,STARRED_ACTORS
Movie:The Well-Digger's Daughter,Person;Organization:Daniel Auteuil,DIRECTED_BY
Movie:The Well-Digger's Daughter,Person;Organization:Marcel Pagnol,WRITTEN_BY
Movie:The Well-Digger's Daughter,Person;Organization:Daniel Auteuil,WRITTEN_BY
Movie:The Well-Digger's Daughter,Person:Daniel Auteuil,STARRED_ACTORS
Movie:The Well-Digger's Daughter,Person:Kad Merad,STARRED_ACTORS
Movie:The Well-Digger's Daughter,Person:Sabine Azéma,STARRED_ACTORS
Movie:The Well-Digger's Daughter,Date:2011,RELEASE_YEAR
Movie:The Well-Digger's Daughter,Language;Text:French,IN_LANGUAGE
Movie:The Well-Digger's Daughter,Text:Drama,HAS_GENRE
Movie:Chastity Bites,Person;Organization:John V. Knowles,DIRECTED_BY
Movie:Chastity Bites,Person;Organization:Lotti Pharriss Knowles,WRITTEN_BY
Movie:Chastity Bites,Date:2013,RELEASE_YEAR
Movie:Chastity Bites,Text:Comedy,HAS_GENRE
Movie:Chastity Bites,Text:Horror,HAS_GENRE
Movie:The Ice Storm,Person;Organization:Ang Lee,DIRECTED_BY
Movie:The Ice Storm,Person;Organization:Rick Moody,WRITTEN_BY
Movie:The Ice Storm,Person:Sigourney Weaver,STARRED_ACTORS
Movie:The Ice Storm,Person:Kevin Kline,STARRED_ACTORS
Movie:The Ice Storm,Person:Joan Allen,STARRED_ACTORS
Movie:The Ice Storm,Date:1997,RELEASE_YEAR
Movie:The Ice Storm,Text:Drama,HAS_GENRE
Movie:The Ice Storm,Text:funny,HAS_TAGS
Movie:The Ice Storm,Text:criterion,HAS_TAGS
Movie:The Ice Storm,Text:drama,HAS_TAGS
Movie:The Ice Storm,Text:dvd,HAS_TAGS
Movie:The Ice Storm,Text:1970s,HAS_TAGS
Movie:The Ice Storm,Text:sigourney weaver,HAS_TAGS
Movie:The Ice Storm,Text:moody,HAS_TAGS
Movie:The Ice Storm,Text:elijah wood,HAS_TAGS
Movie:The Ice Storm,Text:tobey maguire,HAS_TAGS
Movie:The Ice Storm,Text:christina ricci,HAS_TAGS
Movie:The Ice Storm,Text:ang lee,HAS_TAGS
Movie:The Ice Storm,Text:thanksgiving,HAS_TAGS
Movie:Red Beard,Person;Organization:Akira Kurosawa,DIRECTED_BY
Movie:Red Beard,Person;Organization:Akira Kurosawa,WRITTEN_BY
Movie:Red Beard,Date:1965,RELEASE_YEAR
Movie:Red Beard,Language;Text:Japanese,IN_LANGUAGE
Movie:Red Beard,Text:japan,HAS_TAGS
Movie:Red Beard,Text:akira kurosawa,HAS_TAGS
Movie:Desperate Search,Person;Organization:Joseph H. Lewis,DIRECTED_BY
Movie:Desperate Search,Person;Organization:Arthur Mayse,WRITTEN_BY
Movie:Desperate Search,Person:Keenan Wynn,STARRED_ACTORS
Movie:Desperate Search,Person:Howard Keel,STARRED_ACTORS
Movie:Desperate Search,Person:Jane Greer,STARRED_ACTORS
Movie:Desperate Search,Person:Patricia Medina,STARRED_ACTORS
Movie:Desperate Search,Date:1952,RELEASE_YEAR
Movie:Desperate Search,Text:Drama,HAS_GENRE
Movie:Desperate Search,Text:Adventure,HAS_GENRE
Movie:The War Within,Person;Organization:Joseph Castelo,DIRECTED_BY
Movie:The War Within,Person;Organization:Joseph Castelo,WRITTEN_BY
Movie:The War Within,Person;Organization:Tom Glynn,WRITTEN_BY
Movie:The War Within,Person;Organization:Ayad Akhtar,WRITTEN_BY
Movie:The War Within,Person:Sarita Choudhury,STARRED_ACTORS
Movie:The War Within,Person:Nandana Sen,STARRED_ACTORS
Movie:The War Within,Person:Firdous Bamji,STARRED_ACTORS
Movie:The War Within,Person:Ayad Akhtar,STARRED_ACTORS
Movie:The War Within,Date:2005,RELEASE_YEAR
Movie:The War Within,Text:Drama,HAS_GENRE
Movie:Killer Movie,Person;Organization:Jeff Fisher,DIRECTED_BY
Movie:Killer Movie,Person;Organization:Jeff Fisher,WRITTEN_BY
Movie:Killer Movie,Person:Paul Wesley,STARRED_ACTORS
Movie:Killer Movie,Person:Torrey DeVitto,STARRED_ACTORS
Movie:Killer Movie,Date:2008,RELEASE_YEAR
Movie:Killer Movie,Text:Comedy,HAS_GENRE
Movie:Killer Movie,Text:Horror,HAS_GENRE
Movie:The Mighty Ducks,Person;Organization:Stephen Herek,DIRECTED_BY
Movie:The Mighty Ducks,Person:Emilio Estevez,STARRED_ACTORS
Movie:The Mighty Ducks,Date:1992,RELEASE_YEAR
Movie:The Mighty Ducks,Text:Comedy,HAS_GENRE
Movie:The Mighty Ducks,Text:sports,HAS_TAGS
Movie:The Mighty Ducks,Text:emilio estevez,HAS_TAGS
Movie:The Mighty Ducks,Text:stephen herek,HAS_TAGS
Movie:The Unknown Soldier,Person;Organization:Rauni Mollberg,DIRECTED_BY
Movie:The Unknown Soldier,Person;Organization:Väinö Linna,WRITTEN_BY
Movie:The Unknown Soldier,Person;Organization:Rauni Mollberg,WRITTEN_BY
Movie:The Unknown Soldier,Date:1985,RELEASE_YEAR
Movie:The Unknown Soldier,Language;Text:Finnish,IN_LANGUAGE
Movie:The Unknown Soldier,Text:War,HAS_GENRE
Movie:The Unknown Soldier,Text:remake,HAS_TAGS
Movie:Martyrs,Person;Organization:Pascal Laugier,DIRECTED_BY
Movie:Martyrs,Person;Organization:Pascal Laugier,WRITTEN_BY
Movie:Martyrs,Date:2008,RELEASE_YEAR
Movie:Martyrs,Language;Text:French,IN_LANGUAGE
Movie:Martyrs,Text:Horror,HAS_GENRE
Movie:Martyrs,Text:horror,HAS_TAGS
Movie:Martyrs,Text:french,HAS_TAGS
Movie:Martyrs,Text:new french extremity,HAS_TAGS
Movie:Mighty Joe Young,Person;Organization:Ron Underwood,DIRECTED_BY
Movie:Mighty Joe Young,Person;Organization:Merian C. Cooper,WRITTEN_BY
Movie:Mighty Joe Young,Person;Organization:Ruth Rose,WRITTEN_BY
Movie:Mighty Joe Young,Person:Charlize Theron,STARRED_ACTORS
Movie:Mighty Joe Young,Person:Bill Paxton,STARRED_ACTORS
Movie:Mighty Joe Young,Date:1998,RELEASE_YEAR
Movie:Mighty Joe Young,Text:Family,HAS_GENRE
Movie:Mighty Joe Young,Text:charlize theron,HAS_TAGS
Movie:Mighty Joe Young,Text:bill paxton,HAS_TAGS
Movie:Mighty Joe Young,Text:ron underwood,HAS_TAGS
Movie:Starlift,Person;Organization:Roy Del Ruth,DIRECTED_BY
Movie:Starlift,Person;Organization:John D. Klorer,WRITTEN_BY
Movie:Starlift,Person:Doris Day,STARRED_ACTORS
Movie:Starlift,Person:Virginia Mayo,STARRED_ACTORS
Movie:Starlift,Person:Gordon MacRae,STARRED_ACTORS
Movie:Starlift,Person:Gene Nelson,STARRED_ACTORS
Movie:Starlift,Date:1951,RELEASE_YEAR
Movie:Starlift,Text:Musical,HAS_GENRE
Movie:The Raid 2,Person;Organization:Gareth Evans,DIRECTED_BY
Movie:The Raid 2,Person;Organization:Gareth Evans,WRITTEN_BY
Movie:The Raid 2,Person:Iko Uwais,STARRED_ACTORS
Movie:The Raid 2,Person:Oka Antara,STARRED_ACTORS
Movie:The Raid 2,Person:Arifin Putra,STARRED_ACTORS
Movie:The Raid 2,Date:2014,RELEASE_YEAR
Movie:The Raid 2,Language;Text:English,IN_LANGUAGE
Movie:The Raid 2,Language;Text:Japanese,IN_LANGUAGE
Movie:The Raid 2,Language;Text:Indonesian,IN_LANGUAGE
Movie:The Raid 2,Text:Action,HAS_GENRE
Movie:The Raid 2,Text:Crime,HAS_GENRE
Movie:The Raid 2,Text:action,HAS_TAGS
Movie:The Raid 2,Text:martial arts,HAS_TAGS
Movie:The Raid 2,Text:indonesia,HAS_TAGS
Movie:The Raid 2,Text:gareth evans,HAS_TAGS
Movie:The Raid 2,Text:iko uwais,HAS_TAGS
Movie:Shriek If You Know What I Did Last Friday the Thirteenth,Person;Organization:John Blanchard,DIRECTED_BY
Movie:Shriek If You Know What I Did Last Friday the Thirteenth,Date:2000,RELEASE_YEAR
Movie:Shriek If You Know What I Did Last Friday the Thirteenth,Text:Horror,HAS_GENRE
Movie:The Bridges of Madison County,Person;Organization:Clint Eastwood,DIRECTED_BY
Movie:The Bridges of Madison County,Person;Organization:Richard LaGravenese,WRITTEN_BY
Movie:The Bridges of Madison County,Person;Organization:Robert James Waller,WRITTEN_BY
Movie:The Bridges of Madison County,Person:Clint Eastwood,STARRED_ACTORS
Movie:The Bridges of Madison County,Person:Meryl Streep,STARRED_ACTORS
Movie:The Bridges of Madison County,Date:1995,RELEASE_YEAR
Movie:The Bridges of Madison County,Text:Drama,HAS_GENRE
Movie:The Bridges of Madison County,Text:bd-r,HAS_TAGS
Movie:The Bridges of Madison County,Text:clint eastwood,HAS_TAGS
Movie:The Bridges of Madison County,Text:meryl streep,HAS_TAGS
Movie:The Bridges of Madison County,Text:book,HAS_TAGS
Movie:The Bridges of Madison County,Text:affair,HAS_TAGS
Movie:The Bridges of Madison County,Text:iowa,HAS_TAGS
Movie:Net Worth,Person;Organization:Jerry Ciccoritti,DIRECTED_BY
Movie:Net Worth,Person;Organization:Don Truckey,WRITTEN_BY
Movie:Net Worth,Person;Organization:David Cruise,WRITTEN_BY
Movie:Net Worth,Person;Organization:Phil Savath,WRITTEN_BY
Movie:Net Worth,Person:Kevin Conway,STARRED_ACTORS
Movie:Net Worth,Person:Aidan Devine,STARRED_ACTORS
Movie:Net Worth,Date:1995,RELEASE_YEAR
Movie:Hanna,Person;Organization:Joe Wright,DIRECTED_BY
Movie:Hanna,Person:Cate Blanchett,STARRED_ACTORS
Movie:Hanna,Person:Eric Bana,STARRED_ACTORS
Movie:Hanna,Person:Saoirse Ronan,STARRED_ACTORS
Movie:Hanna,Date:2011,RELEASE_YEAR
Movie:Hanna,Text:Action,HAS_GENRE
Movie:Hanna,Text:Thriller,HAS_GENRE
Movie:Hanna,Text:action,HAS_TAGS
Movie:Hanna,Text:thriller,HAS_TAGS
Movie:Hanna,Text:assassin,HAS_TAGS
Movie:Hanna,Text:cate blanchett,HAS_TAGS
Movie:Hanna,Text:eric bana,HAS_TAGS
Movie:Hanna,Text:saoirse ronan,HAS_TAGS
Movie:Hanna,Text:finland,HAS_TAGS
Movie:Hanna,Text:joe wright,HAS_TAGS
Movie:Hanna,Text:the chemical brothers,HAS_TAGS
Movie:De Dana Dan,Person;Organization:Priyadarshan,DIRECTED_BY
Movie:De Dana Dan,Person;Organization:Priyadarshan,WRITTEN_BY
Movie:De Dana Dan,Person:Akshay Kumar,STARRED_ACTORS
Movie:De Dana Dan,Person:Katrina Kaif,STARRED_ACTORS
Movie:De Dana Dan,Person:Sunil Shetty,STARRED_ACTORS
Movie:De Dana Dan,Person:Sameera Reddy,STARRED_ACTORS
Movie:De Dana Dan,Date:2009,RELEASE_YEAR
Movie:De Dana Dan,Language;Text:Hindi,IN_LANGUAGE
Movie:De Dana Dan,Text:Comedy,HAS_GENRE
Movie:Marnie,Person;Organization:Alfred Hitchcock,DIRECTED_BY
Movie:Marnie,Person;Organization:Jay Presson Allen,WRITTEN_BY
Movie:Marnie,Person;Organization:Winston Graham,WRITTEN_BY
Movie:Marnie,Person:Sean Connery,STARRED_ACTORS
Movie:Marnie,Person:Tippi Hedren,STARRED_ACTORS
Movie:Marnie,Date:1964,RELEASE_YEAR
Movie:Marnie,Language;Text:English,IN_LANGUAGE
Movie:Marnie,Text:Thriller,HAS_GENRE
Movie:Marnie,Text:psychological,HAS_TAGS
Movie:Marnie,Text:alfred hitchcock,HAS_TAGS
Movie:Marnie,Text:sean connery,HAS_TAGS
Movie:Marnie,Text:hitchcock,HAS_TAGS
Movie:Marnie,Text:psychological thriller,HAS_TAGS
Movie:Marnie,Text:bernard herrmann,HAS_TAGS
Movie:Marnie,Text:tippi hedren,HAS_TAGS
Movie:Dreams,Person;Organization:Akira Kurosawa,DIRECTED_BY
Movie:Dreams,Person;Organization:Akira Kurosawa,WRITTEN_BY
Movie:Dreams,Date:1990,RELEASE_YEAR
Movie:Dreams,Text:dreams,HAS_TAGS
Movie:Dreams,Text:akira kurosawa,HAS_TAGS
Movie:Dreams,Text:kurosawa,HAS_TAGS
Movie:Dreams,Text:life,HAS_TAGS
Movie:Toy Story 2,Person;Organization:Lee Unkrich,DIRECTED_BY
Movie:Toy Story 2,Person;Organization:John Lasseter,DIRECTED_BY
Movie:Toy Story 2,Person;Organization:Ash Brannon,DIRECTED_BY
Movie:Toy Story 2,Person;Organization:John Lasseter,WRITTEN_BY
Movie:Toy Story 2,Person;Organization:Ash Brannon,WRITTEN_BY
Movie:Toy Story 2,Person:Joan Cusack,STARRED_ACTORS
Movie:Toy Story 2,Date:1999,RELEASE_YEAR
Movie:Toy Story 2,Text:Comedy,HAS_GENRE
Movie:Toy Story 2,Text:Adventure,HAS_GENRE
Movie:Toy Story 2,Text:Animation,HAS_GENRE
Movie:Toy Story 2,Text:animation,HAS_TAGS
Movie:Toy Story 2,Text:pixar,HAS_TAGS
Movie:Toy Story 2,Text:disney,HAS_TAGS
Movie:Toy Story 2,Text:sequel,HAS_TAGS
Movie:Toy Story 2,Text:original,HAS_TAGS
Movie:Toy Story 2,Text:story,HAS_TAGS
Movie:Toy Story 2,Text:characters,HAS_TAGS
Movie:Toy Story 2,Text:light,HAS_TAGS
Movie:Toy Story 2,Text:pixar animation,HAS_TAGS
Movie:Toy Story 2,Text:joan cusack,HAS_TAGS
Movie:Toy Story 2,Text:john lasseter,HAS_TAGS
Movie:Toy Story 2,Text:lee unkrich,HAS_TAGS
Movie:The Marrying Kind,Person;Organization:George Cukor,DIRECTED_BY
